simTime	Grav	Gmax	dvta	tgo_aim	UTAA_X	UTAA_Y	UTAA_Z	WOEA_X	WOEA_Y	WOEA_Z
0.278000	9.788991	12.875627	-140.625000	1.193224	0.995255	0.096938	-0.008400	0.000012	0.004390	0.052062
0.280000	9.788991	12.949779	-140.625000	1.189421	0.995246	0.097026	-0.008456	0.000012	0.004439	0.052359
0.282000	9.788991	13.024275	-140.625000	1.185625	0.995233	0.097158	-0.008511	0.000012	0.004489	0.052657
0.284000	9.788991	13.099117	-140.625000	1.181835	0.995225	0.097233	-0.008566	0.000012	0.004538	0.052958
0.286000	9.788991	13.174306	-140.625000	1.178052	0.995214	0.097334	-0.008624	0.000013	0.004589	0.053261
0.288000	9.788991	13.241624	-140.625000	1.174275	0.995204	0.097432	-0.008678	0.000013	0.004639	0.053566
0.290000	9.788991	13.304557	-140.625000	1.170504	0.995194	0.097529	-0.008738	0.000013	0.004690	0.053873
0.292000	9.788991	13.367683	-140.625000	1.166739	0.995184	0.097635	-0.008781	0.000013	0.004741	0.054182
0.294000	9.788991	13.431001	-140.625000	1.162981	0.995173	0.097737	-0.008841	0.000014	0.004793	0.054494
0.296000	9.788991	13.494513	-140.625000	1.159229	0.995162	0.097839	-0.008901	0.000014	0.004845	0.054807
